============================================================
  Experiment 5 -- Proximity vs Diversity 2x2
  bash src/exp5/run_exp5.sh > results/exp5/results.txt 2>&1
============================================================
[IRM - Config A - train_domain_val]
Using device: cuda
Mode: irm  |  Config: A  |  e values: [0.1, 0.2]  |  Selection: train_domain_val  |  Trials: 50
Trial 31 | score: 0.6574 | val: [] | test: 0.7025 | elapsed: 3.5s
Trial 32 | score: 0.7220 | val: [] | test: 0.7220 | elapsed: 2.7s
Trial 33 | score: 0.7573 | val: [] | test: 0.7573 | elapsed: 2.7s
Trial 34 | score: 0.7016 | val: [] | test: 0.9004 | elapsed: 0.5s
Trial 35 | score: 0.7478 | val: [] | test: 0.7478 | elapsed: 4.0s
Trial 36 | score: 0.7114 | val: [] | test: 0.7114 | elapsed: 3.2s
Trial 37 | score: 0.7443 | val: [] | test: 0.7443 | elapsed: 1.1s
Trial 38 | score: 0.7264 | val: [] | test: 0.8522 | elapsed: 0.5s
Trial 39 | score: 0.7426 | val: [] | test: 0.7426 | elapsed: 3.1s
Trial 40 | score: 0.7500 | val: [] | test: 0.8386 | elapsed: 0.5s
Trial 41 | score: 0.6326 | val: [] | test: 0.6385 | elapsed: 1.7s
Trial 42 | score: 0.7295 | val: [] | test: 0.7482 | elapsed: 1.9s
Trial 43 | score: 0.6744 | val: [] | test: 0.6769 | elapsed: 2.8s
Trial 44 | score: 0.7370 | val: [] | test: 0.8135 | elapsed: 1.1s
Trial 45 | score: 0.7223 | val: [] | test: 0.7252 | elapsed: 2.6s
Trial 46 | score: 0.7939 | val: [] | test: 0.7939 | elapsed: 2.5s
Trial 47 | score: 0.7818 | val: [] | test: 0.7818 | elapsed: 1.6s
Trial 48 | score: 0.6509 | val: [] | test: 0.6522 | elapsed: 1.5s
Trial 49 | score: 0.7449 | val: [] | test: 0.8453 | elapsed: 0.6s

Best score: 0.7939
Best hparams: {'hidden_dim': 280, 'l2_regularizer_weight': 0.00024047281460828457, 'lr': 0.0010173487610890136, 'penalty_anneal_iters': 187, 'penalty_weight': 234.95349090607678, 'steps': 401, 'grayscale_model': False}
Saved -> results/exp5/search_results_irm_B_oracle.json
[IRM - Config B - train_domain_val]
Using device: cuda
Mode: irm  |  Config: B  |  e values: [0.7, 0.8]  |  Selection: train_domain_val  |  Trials: 50

