============================================================
  Experiment 3 -- Number of Environments (Increasing Diversity)
  bash src/exp3/run_exp3.sh > results/exp3/results.txt 2>&1
============================================================
[IRM - n_envs=1 - oracle]
Using device: cuda
Mode: irm  |  n_envs: 1  |  Selection: oracle  |  Trials: 50

Trial 35 | score: 0.8696 | val: ['0.8696'] | test: 0.2086 | elapsed: 3.0s
Trial 36 | score: 0.8959 | val: ['0.8959'] | test: 0.0990 | elapsed: 2.5s
Trial 37 | score: 0.8905 | val: ['0.8905'] | test: 0.1130 | elapsed: 1.1s
Trial 38 | score: 0.8961 | val: ['0.8961'] | test: 0.0987 | elapsed: 0.3s
Trial 39 | score: 0.8406 | val: ['0.8406'] | test: 0.2232 | elapsed: 2.2s
Trial 40 | score: 0.8960 | val: ['0.8960'] | test: 0.0990 | elapsed: 0.4s
Trial 41 | score: 0.8961 | val: ['0.8961'] | test: 0.0987 | elapsed: 1.3s
Trial 42 | score: 0.8959 | val: ['0.8959'] | test: 0.0988 | elapsed: 1.3s
Trial 43 | score: 0.8960 | val: ['0.8960'] | test: 0.0987 | elapsed: 2.1s
Trial 44 | score: 0.8959 | val: ['0.8959'] | test: 0.0987 | elapsed: 0.8s
Trial 45 | score: 0.8960 | val: ['0.8960'] | test: 0.0988 | elapsed: 1.8s
Trial 46 | score: 0.8927 | val: ['0.8927'] | test: 0.1135 | elapsed: 2.0s
Trial 47 | score: 0.8672 | val: ['0.8672'] | test: 0.2007 | elapsed: 1.2s
Trial 48 | score: 0.8961 | val: ['0.8961'] | test: 0.0987 | elapsed: 0.8s
Trial 49 | score: 0.8957 | val: ['0.8957'] | test: 0.1000 | elapsed: 0.5s

Best score: 0.8962
Best hparams: {'hidden_dim': 173, 'l2_regularizer_weight': 4.978732110473153e-05, 'lr': 0.002003920918106346, 'penalty_anneal_iters': 77, 'penalty_weight': 1160.1685521086447, 'steps': 501, 'grayscale_model': False}
Saved -> results/exp3/search_results_irm_1_train_domain_val.json
[IRM - n_envs=1 - leave_one_domain_out]
Using device: cuda
Mode: irm  |  n_envs: 1  |  Selection: leave_one_domain_out  |  Trials: 50

Trial 00 | score: 0.8990 | val: ['0.8990'] | test: 0.0987 | elapsed: 1.0s
Trial 01 | score: 0.8983 | val: ['0.8983'] | test: 0.1138 | elapsed: 3.0s
