============================================================
  Experiment 4 -- Number of Environments (Fixed Range)
  bash src/exp4/run_exp4.sh > results/exp4/results.txt 2>&1
============================================================
[IRM - n_envs=1 - oracle]
Using device: cuda
Mode: irm  |  n_envs: 1  |  Selection: oracle  |  Trials: 50

Trial 01 | score: 0.6308 | val: ['0.7656', '0.6308'] | test: 0.4090 | elapsed: 3.5s
Trial 02 | score: 0.7904 | val: ['0.7952', '0.7904'] | test: 0.3320 | elapsed: 0.9s
Trial 03 | score: 0.7993 | val: ['0.9004', '0.7993'] | test: 0.0988 | elapsed: 1.2s
Trial 04 | score: 0.7992 | val: ['0.8651', '0.7992'] | test: 0.1764 | elapsed: 2.8s
Trial 05 | score: 0.7993 | val: ['0.9003', '0.7993'] | test: 0.0990 | elapsed: 2.9s
Trial 06 | score: 0.7991 | val: ['0.8722', '0.7991'] | test: 0.1611 | elapsed: 3.2s
Trial 07 | score: 0.7993 | val: ['0.8793', '0.7993'] | test: 0.1494 | elapsed: 3.5s
Trial 08 | score: 0.7923 | val: ['0.8162', '0.7923'] | test: 0.3111 | elapsed: 1.5s
Trial 09 | score: 0.7988 | val: ['0.8568', '0.7988'] | test: 0.1911 | elapsed: 1.1s
Trial 10 | score: 0.7978 | val: ['0.8353', '0.7978'] | test: 0.2408 | elapsed: 0.9s
Trial 11 | score: 0.7951 | val: ['0.8613', '0.7951'] | test: 0.2011 | elapsed: 1.2s
Trial 12 | score: 0.7993 | val: ['0.8820', '0.7993'] | test: 0.1431 | elapsed: 2.1s
Trial 13 | score: 0.7989 | val: ['0.8620', '0.7989'] | test: 0.1851 | elapsed: 1.7s
Trial 14 | score: 0.7993 | val: ['0.8989', '0.7993'] | test: 0.1015 | elapsed: 4.4s
Trial 15 | score: 0.7980 | val: ['0.8242', '0.7980'] | test: 0.2234 | elapsed: 3.3s
Trial 16 | score: 0.7990 | val: ['0.8673', '0.7990'] | test: 0.1747 | elapsed: 3.4s
Trial 17 | score: 0.7991 | val: ['0.8625', '0.7991'] | test: 0.1814 | elapsed: 0.9s
Trial 18 | score: 0.7993 | val: ['0.9008', '0.7993'] | test: 0.0987 | elapsed: 5.8s
Trial 19 | score: 0.7995 | val: ['0.8078', '0.7995'] | test: 0.2644 | elapsed: 6.2s
Trial 20 | score: 0.7993 | val: ['0.8644', '0.7993'] | test: 0.1790 | elapsed: 3.1s
Trial 21 | score: 0.7972 | val: ['0.8627', '0.7972'] | test: 0.1835 | elapsed: 0.7s
Trial 22 | score: 0.7979 | val: ['0.8522', '0.7979'] | test: 0.2068 | elapsed: 0.8s
Trial 23 | score: 0.7993 | val: ['0.9002', '0.7993'] | test: 0.0990 | elapsed: 3.0s
Trial 24 | score: 0.7992 | val: ['0.8680', '0.7992'] | test: 0.1751 | elapsed: 1.7s
Trial 25 | score: 0.7993 | val: ['0.9007', '0.7993'] | test: 0.0987 | elapsed: 0.5s
Trial 26 | score: 0.7994 | val: ['0.8791', '0.7994'] | test: 0.1491 | elapsed: 1.9s
Trial 27 | score: 0.7993 | val: ['0.8942', '0.7993'] | test: 0.1174 | elapsed: 2.8s
Trial 28 | score: 0.7988 | val: ['0.8834', '0.7988'] | test: 0.1408 | elapsed: 0.7s
Trial 29 | score: 0.7812 | val: ['0.8215', '0.7812'] | test: 0.2926 | elapsed: 3.3s
Trial 30 | score: 0.7993 | val: ['0.8993', '0.7993'] | test: 0.1018 | elapsed: 1.8s
Trial 31 | score: 0.7993 | val: ['0.9006', '0.7993'] | test: 0.0987 | elapsed: 4.0s
Trial 32 | score: 0.7987 | val: ['0.8506', '0.7987'] | test: 0.2033 | elapsed: 3.8s
Trial 33 | score: 0.7916 | val: ['0.7941', '0.7916'] | test: 0.3305 | elapsed: 4.0s
Trial 34 | score: 0.7993 | val: ['0.9008', '0.7993'] | test: 0.0987 | elapsed: 0.8s
Trial 35 | score: 0.7939 | val: ['0.8125', '0.7939'] | test: 0.3136 | elapsed: 4.6s
Trial 36 | score: 0.7993 | val: ['0.8901', '0.7993'] | test: 0.1260 | elapsed: 3.6s
Trial 37 | score: 0.7849 | val: ['0.8107', '0.7849'] | test: 0.3187 | elapsed: 1.5s
